year,level_1,level_2,level_3,value
2015,"$3,000 - $3,999","Total","Marine Parade",0.7
2015,"$3,000 - $3,999","Total","Novena",0.5
2015,"$3,000 - $3,999","Total","Outram",0.4
2015,"$3,000 - $3,999","Total","Pasir Ris",1.7
2015,"$3,000 - $3,999","Total","Punggol",1.4
2015,"$3,000 - $3,999","Total","Queenstown",1.8
2015,"$3,000 - $3,999","Total","Sembawang",1.2
2015,"$3,000 - $3,999","Total","Sengkang",3.2
2015,"$3,000 - $3,999","Total","Serangoon",1.6
2015,"$3,000 - $3,999","Total","Tampines",4.7
2015,"$3,000 - $3,999","Total","Tanglin",0.2
2015,"$3,000 - $3,999","Total","Toa Payoh",2.6
2015,"$3,000 - $3,999","Total","Woodlands",3.7
2015,"$3,000 - $3,999","Total","Yishun",4.3
2015,"$3,000 - $3,999","Total","Others",0.7
2015,"$4,000 - $4,999","Total","Ang Mo Kio",4
2015,"$4,000 - $4,999","Total","Bedok",5.3
2015,"$4,000 - $4,999","Total","Bishan",1.3
2015,"$4,000 - $4,999","Total","Bukit Batok",2.7
2015,"$4,000 - $4,999","Total","Bukit Merah",2.7
2015,"$4,000 - $4,999","Total","Bukit Panjang",2.4
2015,"$4,000 - $4,999","Total","Bukit Timah",0.2
2015,"$4,000 - $4,999","Total","Choa Chu Kang",2.8
2015,"$4,000 - $4,999","Total","Clementi",1.7
2015,"$4,000 - $4,999","Total","Geylang",2.3
2015,"$4,000 - $4,999","Total","Hougang",4.1
2015,"$4,000 - $4,999","Total","Jurong East",1.7
2015,"$4,000 - $4,999","Total","Jurong West",5.4
2015,"$4,000 - $4,999","Total","Kallang",1.8
2015,"$4,000 - $4,999","Total","Marine Parade",0.6
2015,"$4,000 - $4,999","Total","Novena",0.7
2015,"$4,000 - $4,999","Total","Outram",0.4
2015,"$4,000 - $4,999","Total","Pasir Ris",1.6
2015,"$4,000 - $4,999","Total","Punggol",1.7
2015,"$4,000 - $4,999","Total","Queenstown",2.2
2015,"$4,000 - $4,999","Total","Sembawang",1.2
2015,"$4,000 - $4,999","Total","Sengkang",4.1
2015,"$4,000 - $4,999","Total","Serangoon",1.9
2015,"$4,000 - $4,999","Total","Tampines",5.2
2015,"$4,000 - $4,999","Total","Tanglin",0.3
2015,"$4,000 - $4,999","Total","Toa Payoh",2.8
2015,"$4,000 - $4,999","Total","Woodlands",6.2
2015,"$4,000 - $4,999","Total","Yishun",4.5
2015,"$4,000 - $4,999","Total","Others",0.5
2015,"$5,000 - $5,999","Total","Ang Mo Kio",3.8
2015,"$5,000 - $5,999","Total","Bedok",6.2
2015,"$5,000 - $5,999","Total","Bishan",1
2015,"$5,000 - $5,999","Total","Bukit Batok",2.1
